community,scaf
community.1,AW_365336#REF#ScYP8k310HRSCAF43chZ_RagTag
community.2,AW_365336#REF#ScYP8k38HRSCAF31ch18_RagTag
community.3,AW_365336#REF#SUPER_W_RagTag.trimmed
community.4,AW_365336#REF#ScYP8k3866HRSCAF1020ch3_RagTag
community.6,AW_365336#REF#ScYP8k311HRSCAF50ch4_RagTag
community.8,AW_365336#REF#ScYP8k313HRSCAF58ch1_RagTag
community.9,AW_365336#REF#ScYP8k312HRSCAF54ch1A_RagTag
community.10,AW_365336#REF#ScYP8k37HRSCAF29ch17_RagTag
community.11,AW_365336#REF#ScYP8k369HRSCAF175ch26_RagTag
community.13,AW_365336#REF#ScYP8k369HRSCAF175ch25_RagTag
community.14,AW_365336#REF#ScYP8k369HRSCAF175ch27_RagTag
community.14,AW_365336#REF#ScYP8k369HRSCAF175ch28_RagTag
community.15,AW_365336#REF#ScYP8k3865HRSCAF1011ch20_RagTag
community.16,AW_365336#REF#ScYP8k3869HRSCAF1023ch11_RagTag
community.17,AW_365336#REF#ScYP8k3870HRSCAF1029ch12_RagTag
community.18,AW_365336#REF#ScYP8k39HRSCAF32ch6_RagTag
community.19,AW_365336#REF#ScYP8k33HRSCAF8ch9_RagTag
community.20,AW_365336#REF#ScYP8k3629HRSCAF770ch2_RagTag
community.21,AW_365336#REF#ScYP8k34HRSCAF13ch7_RagTag
community.22,AW_365336#REF#ScYP8k314HRSCAF84ch4A_RagTag
community.23,AW_365336#REF#ScYP8k3651HRSCAF793ch14_RagTag
community.25,AW_365336#REF#ScYP8k369HRSCAF175ch24_RagTag
community.27,AW_365336#REF#ScYP8k32HRSCAF3ch10_RagTag
community.28,AW_365336#REF#ScYP8k3864HRSCAF1010ch15_RagTag
community.29,AW_365336#REF#ScYP8k36HRSCAF25ch19_RagTag
community.30,AW_365336#REF#ScYP8k35HRSCAF18ch5_RagTag
community.31,AW_365336#REF#ScYP8k3302HRSCAF431ch13_RagTag
community.32,AW_365336#REF#ScYP8k31HRSCAF1ch8_RagTag
community.33,AW_365336#REF#ScYP8k369HRSCAF175ch21_RagTag
community.36,AW_365336#REF#ScYP8k369HRSCAF175ch23_RagTag
community.37,AW_365336#REF#ScYP8k369HRSCAF175ch22_RagTag